CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,11,51,19,36,17,75,31,15,32,33,35,61,63,62,64,65,21,18,81,82,52,53,91,92,14,76,73,72,74,71,13,16,12,34
map,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akses.dan.Infrastruktur,,,,,,,,,5.03,7.22,5.57,6.5,5.5,5.22,7.9,5.44,6.33,5.97,5.8,5.19,5.82,5.45,6.77,6.03,6.8,5.02,5.07,4.7,5,4.44,3.76,5.46,5.76,4.87,5.66,4.97,5.33,5.73,5.65,5.62,5.53,7.48
,,Penggunaan,,,,,,,,,3.33,5.23,4.12,5.11,3.61,3.84,6.73,3.93,5,4.26,4.38,3.44,4.53,4.06,5.37,5.4,5.46,3.5,3.24,2.71,3.09,2.24,2.15,4.04,4.32,2.74,4.07,3.2,3.58,4.55,3.96,3.65,3.72,5.44
,,Keahlian,,,,,,,,,6.6,6.23,5.07,5.81,6.2,5.62,6.47,5.82,5.5,5.38,5.64,5.15,5.44,5.6,6.45,5.96,6.16,5.47,6.81,6.41,5.75,5.5,4.68,6.35,6.1,5.48,6.02,6.22,6.35,6.1,6.37,5.48,6.18,7.44
,,IP.TIK,,,,,,,,,4.66,6.23,4.89,5.8,4.88,4.75,7.14,4.91,5.63,5.17,5.2,4.48,5.23,4.92,6.14,5.76,6.14,4.5,4.68,4.24,4.38,3.77,3.3,5.07,5.25,4.14,5.1,4.51,4.83,5.33,5.12,4.81,4.94,6.66
,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,4.86,6.93,5.27,6.16,5.26,5.01,7.84,5.21,6.02,5.62,5.7,5,5.39,5.18,6.76,6.02,6.48,4.86,5.13,4.87,4.78,4.63,4.17,5.21,5.5,4.75,5.48,5.02,5.12,5.54,5.52,5.38,5.15,6.93
,,-,,,,,,,,,3.02,4.89,3.94,4.71,3.55,3.74,6.31,3.53,4.68,4.19,4.34,3.29,4.33,4.09,4.98,4.91,5.2,2.95,3.16,2.45,3.01,2.3,2.27,3.7,4.16,2.59,4.05,3.37,3.52,4.62,3.78,3.43,3.38,5.01
,,-,,,,,,,,,6.69,6.26,5.08,5.79,6.29,5.66,6.46,5.8,5.48,5.35,5.63,5.17,5.42,5.53,6.49,6.02,6.08,5.38,6.8,6.45,5.77,5.5,4.65,6.36,6.07,5.45,6.05,6.14,6.32,6.13,6.38,5.53,6.2,7.48
,,-,,,,,,,,,4.49,5.98,4.7,5.5,4.78,4.63,6.95,4.66,5.38,4.99,5.14,4.35,4.97,4.81,6,5.58,5.89,4.2,4.68,4.22,4.27,3.87,3.5,4.84,5.08,4.03,5.02,4.58,4.72,5.29,5,4.63,4.65,6.27
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,4.62,6.93,5275,6.08,5.18,4.785,"8,9",5.18,5.835,5.42,5.505,4.835,5.435,5.175,6.88,6.51,6.525,4.675,4.855,4.5,4.475,4.225,3.895,4980,5.44,4.385,5.34,4.825,4.915,5.5,5.385,5.21,4.93,"7,05"
,,-,,,,,,,,,2.59,4.695,3380,4.38,3.29,2.605,"7,96",3.08,4.145,3.335,3.785,2.8,3.79,3.48,4.565,4.505,5.65,2.285,2.445,2.015,2.31,1.665,1.655,3.045,3.425,1.79,3.34,2.565,2.63,4.085,3.285,2.865,2.92,"4,93"
,,-,,,,,,,,,7.145,6.725,5725,6.23,6.77,6.33,"6,79",6.37,6.055,5.99,6.13,5.79,6.07,6.14,6.675,6.44,6.58,5.985,7.31,6.895,6.285,6.06,4.93,6.82,6.58,6.05,6.505,6.645,6.815,6.645,6.88,6.11,6.65,"7,84"
,,-,,,,,,,,,4.315,5.995,4605,5.425,4.74,4.22,"8,1",4.58,5.205,4.7,4.94,4.215,4.905,4.69,5.915,5.705,6.19,3.98,4.385,3.985,3.97,3.565,3.205,4.58,4.865,3.68,4.775,4.28,4.38,5.165,4.845,4.45,4.47,"6,36"
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akses.dan.Infrastruktur,,,,,,,,,4.38,6.93,5.28,6,5.1,4.56,9.96,5.15,5.65,5.22,5.31,4.67,5.48,5.17,7,7,6.57,4.49,4.58,4.13,4.17,3.82,3.62,4.75,5.38,4.02,5.2,4.63,4.71,5.46,5.25,5.04,4.71,7.17
,,Penggunaan,,,,,,,,,2.16,4.5,2.82,4.05,3.03,1.47,9.61,2.63,3.61,2.48,3.23,2.31,3.25,2.87,4.15,4.1,6.1,1.62,1.73,1.58,1.61,1.03,1.04,2.39,2.69,0.99,2.63,1.76,1.74,3.55,2.79,2.3,2.46,4.86
,,Keahlian,,,,,,,,,7.6,7.19,6.37,6.67,7.25,7,7.13,6.94,6.63,6.63,6.63,6.41,6.72,6.75,6.86,6.86,7.08,6.59,7.82,7.34,6.8,6.62,5.21,7.28,7.09,6.65,6.96,7.15,7.31,7.16,7.38,6.69,7.1,8.21
,,IP.TIK,,,,,,,,,4.14,6.01,4.51,5.35,4.7,3.81,9.25,4.5,5.03,4.41,4.74,4.08,4.84,4.57,5.83,5.83,6.49,3.76,4.09,3.75,3.67,3.26,2.91,4.32,4.65,3.33,4.53,3.98,4.04,5.04,4.69,4.27,4.29,6.45
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akses.dan.Infrastruktur,,,,,,,,,4.44,6.77,5.14,6.08,5.1,4.53,9.28,4.97,5.68,5.13,5.17,4.66,5.45,5.06,6.72,,6.87,4.58,4.43,4.17,4.23,3.82,3.5,4.63,5.31,4.13,5.13,4.51,4.73,5.29,5.17,5.04,4.68,6.87
,,Penggunaan,,,,,,,,,1.63,3.69,2.03,3.44,2.3,1.4,10.34,2.16,3.08,2.01,2.51,1.82,2.63,2.18,4.09,,5.41,1.31,1.17,1.08,1.26,0.84,0.79,1.93,2.43,1.95,1.86,1.36,1.39,2.91,2.21,2.08,2.02,4.28
,,Keahlian,,,,,,,,,7.48,7.01,6.32,6.67,7.1,6.91,6.93,6.83,6.58,6.58,6.57,6.31,6.6,6.68,7.24,,6.95,6.54,7.74,7.24,6.7,6.67,5.32,7.21,6.96,6.56,6.85,7.14,7.17,7.1,7.23,6.59,7.05,7.96
,,IP.TIK,,,,,,,,,3.92,5.59,4.13,5.14,4.38,3.75,9.23,4.22,4.82,4.17,4.39,3.85,4.55,4.23,5.77,,6.3,3.67,3.79,3.55,3.53,3.2,2.78,4.06,4.49,3.75,4.17,3.78,3.88,4.7,4.4,4.17,4.09,6.05
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,4.34,6.56,5.12,5.82,4.97,4.32,9.08,4.98,5.43,5.05,5.08,4.51,5.48,4.99,6.54,,6.85,4.41,4.27,4.02,3.99,3.7,3.53,4.51,5.09,3.9,4.91,4.5,4.56,5.39,5.04,4.8,4.67,6.7
,,-,,,,,,,,,1.62,3.79,2.08,3.18,2.18,1.69,9.44,2.26,2.96,2.11,2.54,1.75,2.76,2.22,3.91,,5.87,1.42,1.31,0.81,1.2,0.85,0.8,1.94,2.46,1.94,1.78,1.43,1.26,2.76,2.49,2.08,2.14,4.87
,,-,,,,,,,,,7.4,6.83,6.06,6.53,6.99,6.66,6.89,6.69,6.42,6.38,6.41,6.06,6.41,6.48,7.22,,6.86,6.43,7.72,7.1,6.43,6.45,4.88,7.13,6.86,6.29,6.82,7.12,6.9,6.93,7.14,6.37,6.95,7.89
,,-,,,,,,,,,3.87,5.5,4.09,4.9,4.26,3.73,8.78,4.23,4.64,4.14,4.33,3.71,4.58,4.18,5.63,,6.46,3.62,3.78,3.35,3.36,3.11,2.71,4.01,4.39,3.59,4.04,3.8,3.71,4.65,4.44,4.03,4.11,6.21
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,4.26,6.49,4.9,5.82,4.78,4.31,9.05,4.74,5.34,4.84,4.91,4.56,5.4,4.83,6.52,,6.6,4.4,4.11,3.93,3.97,3.5,3.52,4.66,4.94,3.78,4.92,4.23,4.42,5.22,5.14,4.68,4.59,6.54
,,-,,,,,,,,,0.93,1.71,1.23,2.1,1.08,1.06,10.1,1.2,2.3,2,1.97,0.84,4.86,1.17,2.05,,2.66,0.83,0.83,0.46,0.65,0.5,3.12,1.15,1.2,0.56,2.13,0.83,0.8,1.43,1.14,1.01,3.29,2.21
,,-,,,,,,,,,7.43,6.94,6.06,6.5,6.83,6.6,6.94,6.55,6.27,6.23,6.28,5.91,6.5,6.23,7.02,,6.66,6.31,7.6,7,6.22,6.13,4.67,6.75,6.55,6.29,6.78,6.7,6.97,7,7.09,6.46,6.79,7.92
,,-,,,,,,,,,3.56,4.67,3.67,4.47,3.71,3.47,9.05,3.69,4.31,3.98,4.01,3.34,5.4,3.65,4.83,,5.03,3.35,3.5,3.15,3.09,2.83,3.59,3.67,3.77,3,4.17,3.36,3.49,4.06,3.93,3.57,4.51,5.09
